ego_id;rs_pattern_10;rs_pattern_11;rs_pattern_12;rs_pattern_13;rs_pattern_14;rs_pattern_15;rs_pattern_16;rs_pattern_17;rs_pattern_18;rs_pattern_19;rs_pattern_20;rs_pattern_21;rs_pattern_22;rs_pattern_23;rs_pattern_24;rs_pattern_25;rs_pattern_26;rs_pattern_27;rs_pattern_28;rs_pattern_29;rs_pattern_30
1823df914f72cd7dbfe2879b21813360;33271.0;3886.0;33087.0;31185.0;15108.0;10676.0;753.0;6171.0;12271.0;10867.0;3538.0;3517.0;354.0;7504.0;5840.0;1346.0;1526.0;1123.0;5150.0;2572.0;730.0
0d89818933a21968e2d46ed2f23f55ce;74.0;2.0;117.0;316.0;34.0;34.0;0.0;0.0;46.0;56.0;39.0;0.0;0.0;147.0;20.0;3.0;0.0;0.0;60.0;54.0;92.0
004c89641bfea0365d81de830e46a893;960.0;660.0;2491.0;1018.0;489.0;662.0;23.0;262.0;499.0;417.0;130.0;149.0;9.0;207.0;168.0;34.0;44.0;35.0;103.0;59.0;10.0
3816e0f9232d8ed123fe751a56b0a002;0.0;3.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;9.0;4.0;2.0;2.0;12.0;24.0;16.0
95ccf57be058944095019a4eef5c8613;23755.0;75262.0;89560.0;34674.0;47292.0;102865.0;374.0;6720.0;24356.0;60637.0;8604.0;3546.0;253.0;42962.0;14360.0;11731.0;1278.0;1290.0;23075.0;9418.0;5989.0
7c063ff64b65d0d5e0b986f8f8ce6206;135035.0;76759.0;283910.0;143213.0;270331.0;239306.0;8025.0;89035.0;192712.0;337471.0;47080.0;62232.0;7761.0;175694.0;180638.0;54800.0;32776.0;32995.0;190988.0;94897.0;29294.0
508d434787e29d894e36b1a0a3144bda;488.0;325.0;724.0;362.0;303.0;539.0;5.0;179.0;197.0;395.0;65.0;64.0;12.0;227.0;140.0;79.0;28.0;17.0;141.0;53.0;18.0
9c3fcac6e890f24882fa63d6d1866965;160.0;75.0;291.0;157.0;126.0;120.0;1.0;8.0;13.0;29.0;26.0;2.0;0.0;32.0;5.0;1.0;0.0;0.0;5.0;4.0;2.0
78d4cdbbc26776be9e3d5469fc4f696e;0.0;2.0;2.0;0.0;4.0;13.0;0.0;0.0;2.0;14.0;0.0;0.0;0.0;10.0;8.0;12.0;0.0;0.0;30.0;15.0;7.0
90bf330290fa76da338651bd68512112;9035.0;147644.0;82922.0;30196.0;24113.0;165370.0;30.0;1809.0;15354.0;75074.0;13464.0;1114.0;20.0;47961.0;11280.0;13788.0;354.0;368.0;24241.0;9318.0;6414.0
fc693e512ff4e9bbf672ed94ae03a254;1391.0;341.0;1704.0;1082.0;733.0;609.0;3.0;245.0;366.0;610.0;109.0;59.0;20.0;298.0;169.0;75.0;22.0;26.0;201.0;72.0;31.0
71326110827c59834f93f50ee6f583a9;19697.0;8505.0;32610.0;16370.0;24059.0;20366.0;1113.0;9673.0;15368.0;23874.0;3997.0;6223.0;717.0;9746.0;11863.0;3459.0;2708.0;1886.0;9346.0;3823.0;807.0
2a1a5ac874745b31f5a5f85aadf747f3;108.0;59.0;183.0;109.0;223.0;187.0;0.0;47.0;237.0;307.0;12.0;20.0;2.0;339.0;115.0;48.0;20.0;27.0;222.0;144.0;86.0
8cb979a1c47fbdfa90c6662398892afe;17733.0;37548.0;54218.0;20757.0;16020.0;48309.0;131.0;1735.0;8635.0;28575.0;5306.0;852.0;27.0;8765.0;6140.0;9447.0;166.0;245.0;9833.0;3025.0;880.0
2291c321b7042eccbfab1bf4f8a5e14b;11009.0;12182.0;30470.0;11426.0;19739.0;22183.0;147.0;2830.0;8894.0;21237.0;3051.0;1428.0;152.0;10485.0;6405.0;3745.0;579.0;557.0;8118.0;3143.0;1099.0
c62df86e007dd38e63eda17ae75eeed5;175510.0;218105.0;477606.0;173734.0;304497.0;358103.0;5482.0;101626.0;158384.0;325141.0;54378.0;42689.0;10408.0;133236.0;101640.0;58889.0;23984.0;21544.0;106772.0;53219.0;13297.0
0a0eb9f0f666c106f20b55230a8eb5c5;306083.0;292012.0;612857.0;327055.0;348804.0;570321.0;9722.0;110735.0;220543.0;488282.0;101327.0;64365.0;6705.0;199207.0;192335.0;69677.0;26313.0;25972.0;172642.0;69563.0;17572.0
da37da575b0b747d70434714165f1a74;18.0;9.0;22.0;12.0;10.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1256667d416362ede401b832ea32fd43;9628.0;38503.0;52195.0;29578.0;21197.0;67859.0;75.0;1683.0;18819.0;18912.0;16321.0;811.0;24.0;27889.0;9083.0;1543.0;355.0;768.0;13759.0;7669.0;4802.0
17873f15a07f424829f271f39b1cbaca;5543.0;4400.0;12048.0;5853.0;3899.0;7818.0;28.0;394.0;2439.0;4820.0;1093.0;183.0;1.0;2164.0;1378.0;1097.0;32.0;51.0;1575.0;473.0;268.0
6a17344679579f9ac06fb5039d00ebab;28630.0;20945.0;46601.0;58661.0;26552.0;31188.0;784.0;5885.0;33753.0;24670.0;19114.0;5685.0;444.0;50556.0;15334.0;2705.0;3206.0;2293.0;26965.0;21790.0;22080.0
